id,report_date,occured_date,occured_time,area,crime,victim_age,victim_sex,victim_descent,premise,weapon,status,lat,lon
100100872,2010-05-03,2010-05-03,07:46,Central,BOMB SCARE,9,M,Hispanic/Latin/Mexican,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",VERBAL THREAT,Invest Cont,34.054,-118.2435
100100877,2010-05-05,2010-05-05,18:10,Central,BATTERY - SIMPLE ASSAULT,34,F,Black,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0377,-118.2425
100100879,2010-05-05,2010-05-05,15:00,Central,BURGLARY,0,M,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,34.0416,-118.262
100100880,2010-05-05,2010-05-05,21:25,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,Hispanic/Latin/Mexican,OTHER BUSINESS,,Adult Arrest,34.048,-118.2577
100100882,2010-05-06,2010-05-06,01:00,Central,BATTERY - SIMPLE ASSAULT,21,M,Hispanic/Latin/Mexican,ALLEY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0721,-118.2213
100100883,2010-05-06,2010-05-06,04:00,Central,ROBBERY,48,M,Hispanic/Latin/Mexican,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,34.0467,-118.252
100100887,2010-05-07,2010-05-06,13:20,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,M,Black,RESTAURANT/FAST FOOD,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,34.0398,-118.2413
100100888,2010-05-06,2010-05-06,13:45,Central,OTHER MISCELLANEOUS CRIME,9,M,Other,STREET,,Invest Cont,34.0537,-118.2379
100100891,2010-05-06,2010-05-06,18:50,Central,ROBBERY,76,M,Hispanic/Latin/Mexican,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0428,-118.2461
100100892,2010-05-07,2010-05-07,02:50,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",18,M,Hispanic/Latin/Mexican,OTHER BUSINESS,,Adult Arrest,34.0308,-118.2602
